n,avgBubble,avgMerge,faster
2,0.000000000,0.000000000,Bubble
3,0.000000000,0.000000000,Bubble
4,0.000000195,0.000000000,Merge
5,0.000000000,0.000000195,Bubble
6,0.000000000,0.000000195,Bubble
7,0.000000000,0.000000586,Bubble
8,0.000000195,0.000000000,Merge
9,0.000000000,0.000001172,Bubble
10,0.000000000,0.000000586,Bubble
11,0.000000000,0.000000977,Bubble
12,0.000000000,0.000000781,Bubble
13,0.000000391,0.000000391,Bubble
14,0.000000195,0.000000391,Bubble
15,0.000000000,0.000000977,Bubble
16,0.000000195,0.000000977,Bubble
17,0.000000195,0.000000977,Bubble
18,0.000000000,0.000001563,Bubble
19,0.000000000,0.000000977,Bubble
20,0.000000195,0.000001563,Bubble
21,0.000000586,0.000001367,Bubble
22,0.000000000,0.000000977,Bubble
23,0.000000391,0.000001563,Bubble
24,0.000000586,0.000001563,Bubble
25,0.000000391,0.000001563,Bubble
26,0.000000195,0.000001953,Bubble
27,0.000000781,0.000001953,Bubble
28,0.000000781,0.000001367,Bubble
29,0.000000781,0.000001953,Bubble
30,0.000000781,0.000001953,Bubble
31,0.000000977,0.000001953,Bubble
32,0.000000781,0.000001953,Bubble
33,0.000000977,0.000002148,Bubble
34,0.000001172,0.000002148,Bubble
35,0.000001172,0.000002148,Bubble
36,0.000001172,0.000002344,Bubble
37,0.000001172,0.000002539,Bubble
38,0.000000977,0.000002734,Bubble
39,0.000000977,0.000002930,Bubble
40,0.000001367,0.000002734,Bubble
41,0.000001563,0.000002930,Bubble
42,0.000001563,0.000002930,Bubble
43,0.000001563,0.000002734,Bubble
44,0.000001563,0.000002930,Bubble
45,0.000001953,0.000002930,Bubble
46,0.000001758,0.000003320,Bubble
47,0.000001953,0.000003320,Bubble
48,0.000002148,0.000003516,Bubble
49,0.000001953,0.000003711,Bubble
50,0.000001953,0.000003320,Bubble
51,0.000002148,0.000003516,Bubble
52,0.000002344,0.000003516,Bubble
53,0.000002344,0.000004102,Bubble
54,0.000002344,0.000003516,Bubble
55,0.000002539,0.000003906,Bubble
56,0.000002734,0.000003711,Bubble
57,0.000002734,0.000003906,Bubble
58,0.000002734,0.000004102,Bubble
59,0.000002930,0.000004688,Bubble
60,0.000002930,0.000004297,Bubble
61,0.000003320,0.000004492,Bubble
62,0.000002930,0.000004883,Bubble
63,0.000003125,0.000004492,Bubble
64,0.000003320,0.000004688,Bubble
65,0.000003516,0.000004688,Bubble
66,0.000003711,0.000004688,Bubble
67,0.000003711,0.000004688,Bubble
68,0.000003711,0.000004883,Bubble
69,0.000003516,0.000004883,Bubble
70,0.000003906,0.000004883,Bubble
71,0.000003906,0.000004883,Bubble
72,0.000004102,0.000005078,Bubble
73,0.000003906,0.000004883,Bubble
74,0.000004492,0.000005469,Bubble
75,0.000004688,0.000006055,Bubble
76,0.000004883,0.000005469,Bubble
77,0.000005078,0.000005859,Bubble
78,0.000004688,0.000005469,Bubble
79,0.000004883,0.000005469,Bubble
80,0.000004883,0.000005664,Bubble
81,0.000004883,0.000006055,Bubble
82,0.000005273,0.000006250,Bubble
83,0.000005078,0.000006055,Bubble
84,0.000005273,0.000006641,Bubble
85,0.000005469,0.000006055,Bubble
86,0.000005859,0.000006055,Bubble
87,0.000005859,0.000006250,Bubble
88,0.000005664,0.000006250,Bubble
89,0.000005859,0.000006445,Bubble
90,0.000006055,0.000007227,Bubble
91,0.000006445,0.000006641,Bubble
92,0.000006055,0.000006836,Bubble
93,0.000006445,0.000006836,Bubble
94,0.000006055,0.000006836,Bubble
95,0.000006055,0.000006836,Bubble
96,0.000006445,0.000006836,Bubble
97,0.000007031,0.000006836,Merge
98,0.000008008,0.000007617,Merge
99,0.000007031,0.000007813,Bubble
100,0.000007422,0.000007422,Bubble
101,0.000007422,0.000007617,Bubble
102,0.000007422,0.000007422,Bubble
103,0.000007617,0.000007422,Merge
104,0.000008203,0.000007617,Merge
