# Colecao: INVERSA
# TAMANHO=10000, REPETICOES=100, N0=52
idx,bubble,merge,hibrido
1,0.163000000,0.000937500,0.000812500
2,0.157000000,0.000937500,0.000750000
3,0.157000000,0.001000000,0.000750000
4,0.157000000,0.000875000,0.000812500
5,0.158000000,0.001000000,0.000750000
6,0.159000000,0.001250000,0.000812500
7,0.157000000,0.000937500,0.000812500
8,0.157000000,0.000875000,0.000750000
9,0.160000000,0.000937500,0.000812500
10,0.157000000,0.000875000,0.000750000
11,0.158000000,0.000937500,0.000750000
12,0.152000000,0.000875000,0.000750000
13,0.157000000,0.000875000,0.000812500
14,0.165000000,0.001000000,0.000812500
15,0.157000000,0.000875000,0.000812500
16,0.156000000,0.000875000,0.000812500
17,0.153000000,0.000875000,0.000812500
18,0.153000000,0.001000000,0.000750000
19,0.152000000,0.000875000,0.000750000
20,0.161000000,0.000937500,0.000750000
21,0.169000000,0.000937500,0.000812500
22,0.157000000,0.000937500,0.000750000
23,0.156000000,0.000875000,0.000750000
24,0.157000000,0.001000000,0.000812500
25,0.156000000,0.001187500,0.000750000
26,0.154000000,0.000937500,0.000812500
27,0.161000000,0.000937500,0.000812500
28,0.158000000,0.000937500,0.000812500
29,0.153000000,0.000937500,0.000750000
30,0.159000000,0.000937500,0.000750000
31,0.155000000,0.000937500,0.000812500
32,0.153000000,0.000937500,0.000750000
33,0.157000000,0.000937500,0.000812500
34,0.160000000,0.001062500,0.000875000
35,0.156000000,0.000937500,0.000812500
36,0.157000000,0.000937500,0.000812500
37,0.154000000,0.000875000,0.000750000
38,0.151000000,0.000937500,0.000750000
39,0.154000000,0.001000000,0.000750000
40,0.158000000,0.000937500,0.000812500
41,0.170000000,0.001375000,0.000750000
42,0.154000000,0.000937500,0.000750000
43,0.152000000,0.000875000,0.000812500
44,0.154000000,0.001125000,0.000812500
45,0.158000000,0.001062500,0.001000000
46,0.159000000,0.000937500,0.000812500
47,0.158000000,0.000875000,0.000812500
48,0.151000000,0.000937500,0.000750000
49,0.156000000,0.000875000,0.000875000
50,0.151000000,0.000875000,0.000750000
51,0.160000000,0.000937500,0.000750000
52,0.159000000,0.000937500,0.000750000
53,0.159000000,0.000937500,0.000812500
54,0.157000000,0.000875000,0.000750000
55,0.157000000,0.000875000,0.000750000
56,0.157000000,0.000875000,0.000750000
57,0.154000000,0.000937500,0.000812500
58,0.152000000,0.000937500,0.000750000
59,0.161000000,0.001000000,0.000812500
60,0.151000000,0.000937500,0.000812500
61,0.157000000,0.001000000,0.000875000
62,0.152000000,0.000937500,0.000812500
63,0.153000000,0.000875000,0.000812500
64,0.155000000,0.000937500,0.000812500
65,0.156000000,0.001000000,0.000812500
66,0.163000000,0.000937500,0.000750000
67,0.153000000,0.000875000,0.000750000
68,0.155000000,0.000875000,0.000750000
69,0.152000000,0.000937500,0.000750000
70,0.153000000,0.000937500,0.000750000
71,0.165000000,0.000875000,0.000750000
72,0.162000000,0.000937500,0.000750000
73,0.158000000,0.000937500,0.000812500
74,0.153000000,0.000937500,0.000750000
75,0.155000000,0.000937500,0.000750000
76,0.157000000,0.000937500,0.000812500
77,0.155000000,0.001000000,0.000750000
78,0.158000000,0.001000000,0.000750000
79,0.152000000,0.000875000,0.000750000
80,0.155000000,0.000937500,0.000750000
81,0.155000000,0.000875000,0.000750000
82,0.155000000,0.001000000,0.000750000
83,0.158000000,0.000937500,0.000812500
84,0.160000000,0.001000000,0.000812500
85,0.161000000,0.000875000,0.000812500
86,0.153000000,0.000937500,0.000875000
87,0.158000000,0.001000000,0.000812500
88,0.150000000,0.000937500,0.000750000
89,0.151000000,0.000937500,0.000812500
90,0.158000000,0.000875000,0.000750000
91,0.160000000,0.000937500,0.000750000
92,0.155000000,0.000875000,0.000750000
93,0.157000000,0.000937500,0.000750000
94,0.154000000,0.000937500,0.000750000
95,0.155000000,0.000875000,0.000750000
96,0.156000000,0.000937500,0.000750000
97,0.173000000,0.001000000,0.000750000
98,0.151000000,0.000875000,0.000750000
99,0.154000000,0.000937500,0.000750000
100,0.151000000,0.000875000,0.000750000
