# Colecao: ORDENADA
# TAMANHO=10000, REPETICOES=100, N0=102
idx,bubble,merge,hibrido
1,0.066000000,0.001000000,0.000687500
2,0.065000000,0.001000000,0.000750000
3,0.064000000,0.000937500,0.000625000
4,0.064000000,0.000875000,0.000625000
5,0.064000000,0.001000000,0.000750000
6,0.064000000,0.000937500,0.000687500
7,0.064000000,0.001000000,0.000687500
8,0.068000000,0.001000000,0.000625000
9,0.065000000,0.000937500,0.000687500
10,0.065000000,0.001000000,0.000625000
11,0.065000000,0.000937500,0.000687500
12,0.064000000,0.000875000,0.000625000
13,0.064000000,0.000937500,0.000625000
14,0.064000000,0.000937500,0.000687500
15,0.068000000,0.000937500,0.000687500
16,0.063000000,0.000937500,0.000625000
17,0.063000000,0.000937500,0.000687500
18,0.064000000,0.000937500,0.000687500
19,0.067000000,0.001000000,0.000687500
20,0.065000000,0.000937500,0.000687500
21,0.067000000,0.001000000,0.000750000
22,0.065000000,0.000875000,0.000687500
23,0.066000000,0.000875000,0.000687500
24,0.063000000,0.000937500,0.000687500
25,0.064000000,0.000937500,0.000687500
26,0.064000000,0.000937500,0.000687500
27,0.067000000,0.000937500,0.000750000
28,0.066000000,0.001062500,0.000625000
29,0.063000000,0.000937500,0.000687500
30,0.064000000,0.000937500,0.000687500
31,0.067000000,0.001000000,0.000625000
32,0.069000000,0.000937500,0.000687500
33,0.071000000,0.001000000,0.000625000
34,0.067000000,0.000937500,0.000687500
35,0.065000000,0.000937500,0.000625000
36,0.066000000,0.000937500,0.000687500
37,0.064000000,0.000937500,0.000687500
38,0.065000000,0.000875000,0.000625000
39,0.064000000,0.000937500,0.000687500
40,0.063000000,0.001000000,0.000687500
41,0.066000000,0.000937500,0.000687500
42,0.064000000,0.000937500,0.000687500
43,0.066000000,0.001000000,0.000625000
44,0.066000000,0.001000000,0.000750000
45,0.068000000,0.001062500,0.000687500
46,0.067000000,0.000937500,0.000625000
47,0.063000000,0.000937500,0.000687500
48,0.066000000,0.000937500,0.000687500
49,0.065000000,0.001000000,0.000687500
50,0.065000000,0.000937500,0.000687500
51,0.065000000,0.000937500,0.000687500
52,0.064000000,0.000937500,0.000625000
53,0.069000000,0.001000000,0.000687500
54,0.067000000,0.000937500,0.000687500
55,0.064000000,0.000937500,0.000750000
56,0.067000000,0.000937500,0.000687500
57,0.063000000,0.000875000,0.000625000
58,0.065000000,0.000875000,0.000687500
59,0.063000000,0.000937500,0.000687500
60,0.064000000,0.000937500,0.000687500
61,0.064000000,0.000937500,0.000687500
62,0.065000000,0.000937500,0.000625000
63,0.064000000,0.000937500,0.000687500
64,0.063000000,0.000937500,0.000687500
65,0.068000000,0.001000000,0.000750000
66,0.066000000,0.000937500,0.000687500
67,0.067000000,0.001000000,0.000687500
68,0.066000000,0.000937500,0.000687500
69,0.064000000,0.000937500,0.000625000
70,0.065000000,0.000875000,0.000687500
71,0.069000000,0.000937500,0.000687500
72,0.070000000,0.000937500,0.000625000
73,0.064000000,0.000937500,0.000687500
74,0.063000000,0.000937500,0.000687500
75,0.064000000,0.000937500,0.000687500
76,0.064000000,0.000875000,0.000687500
77,0.066000000,0.000937500,0.000625000
78,0.065000000,0.000937500,0.000687500
79,0.063000000,0.000937500,0.000812500
80,0.064000000,0.000937500,0.000625000
81,0.065000000,0.000937500,0.000687500
82,0.065000000,0.000937500,0.000687500
83,0.064000000,0.000937500,0.000625000
84,0.071000000,0.000875000,0.000625000
85,0.065000000,0.000875000,0.000687500
86,0.064000000,0.000937500,0.000625000
87,0.063000000,0.000937500,0.000625000
88,0.066000000,0.000937500,0.000687500
89,0.064000000,0.000937500,0.000687500
90,0.063000000,0.001062500,0.000750000
91,0.065000000,0.000937500,0.000687500
92,0.064000000,0.001062500,0.000687500
93,0.067000000,0.000937500,0.000625000
94,0.064000000,0.001000000,0.000687500
95,0.064000000,0.000937500,0.000687500
96,0.065000000,0.000937500,0.000687500
97,0.070000000,0.000937500,0.000687500
98,0.065000000,0.001000000,0.000687500
99,0.064000000,0.000937500,0.000687500
100,0.068000000,0.000937500,0.000750000
